movie,correctid,incorrectid,pic_now,pic_target,pic_default,face_side,init_ball,movement,end_ball,target_loc,belief_participant,belief_agent,condition,faceid,skip_line_display,phase,cue,background,target_x,target_y,start_x,start_y,
../User/Stimuli/mt_exemplar/F1RSwitch.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Stay,Left,Left,TRUE,TRUE,TT,F1,Yes,Prac,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1RSwitch.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Switch,Left,Left,TRUE,FALSE,TF,F1,Yes,Prac,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1RSwitch.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Stay,Right,Left,FALSE,FALSE,FF,F1,Yes,Prac,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1RSwitch.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Switch,Right,Left,FALSE,TRUE,FT,F1,Yes,Prac,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1RSwitch.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Stay,Left,Left,TRUE,TRUE,TT,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1RSwitch.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Stay,Left,Left,TRUE,TRUE,TT,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1RSwitch.mp4,Right,Left,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1RightTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Stay,Right,Right,TRUE,TRUE,TT,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,769,158,505,730,
../User/Stimuli/mt_exemplar/F1RSwitch.mp4,Right,Left,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1RightTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Stay,Right,Right,TRUE,TRUE,TT,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,769,158,505,730,
../User/Stimuli/mt_exemplar/F1RSwitch.mp4,Right,Left,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1RightTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Switch,Right,Right,TRUE,FALSE,TF,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,769,158,505,730,
../User/Stimuli/mt_exemplar/F1RStay.mp4,Right,Left,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1RightTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Switch,Right,Right,TRUE,FALSE,TF,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,769,158,505,730,
../User/Stimuli/mt_exemplar/F1RStay.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Switch,Left,Left,TRUE,FALSE,TF,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1RStay.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Switch,Left,Left,TRUE,FALSE,TF,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1RStay.mp4,Right,Left,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1RightTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Stay,Left,Right,FALSE,FALSE,FF,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,769,158,505,730,
../User/Stimuli/mt_exemplar/F1RStay.mp4,Right,Left,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1RightTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Stay,Left,Right,FALSE,FALSE,FF,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,769,158,505,730,
../User/Stimuli/mt_exemplar/F1RStay.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Stay,Right,Left,FALSE,FALSE,FF,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1RStay.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Stay,Right,Left,FALSE,FALSE,FF,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1RStay.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Switch,Right,Left,FALSE,TRUE,FT,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1RStay.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Switch,Right,Left,FALSE,TRUE,FT,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1LSwitch.mp4,Right,Left,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1RightTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Switch,Left,Right,FALSE,TRUE,FT,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,769,158,505,730,
../User/Stimuli/mt_exemplar/F1LSwitch.mp4,Right,Left,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1RightTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Switch,Left,Right,FALSE,TRUE,FT,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,769,158,505,730,
../User/Stimuli/mt_exemplar/F1LSwitch.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Stay,Left,Left,TRUE,TRUE,TT,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1LSwitch.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Stay,Left,Left,TRUE,TRUE,TT,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1LSwitch.mp4,Right,Left,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1RightTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Stay,Right,Right,TRUE,TRUE,TT,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,769,158,505,730,
../User/Stimuli/mt_exemplar/F1LSwitch.mp4,Right,Left,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1RightTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Stay,Right,Right,TRUE,TRUE,TT,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,769,158,505,730,
../User/Stimuli/mt_exemplar/F1LSwitch.mp4,Right,Left,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1RightTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Switch,Right,Right,TRUE,FALSE,TF,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,769,158,505,730,
../User/Stimuli/mt_exemplar/F1LSwitch.mp4,Right,Left,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1RightTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Switch,Right,Right,TRUE,FALSE,TF,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,769,158,505,730,
../User/Stimuli/mt_exemplar/F1LSwitch.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Switch,Left,Left,TRUE,FALSE,TF,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1LStay.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Switch,Left,Left,TRUE,FALSE,TF,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1LStay.mp4,Right,Left,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1RightTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Stay,Left,Right,FALSE,FALSE,FF,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,769,158,505,730,
../User/Stimuli/mt_exemplar/F1LStay.mp4,Right,Left,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1RightTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Stay,Left,Right,FALSE,FALSE,FF,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,769,158,505,730,
../User/Stimuli/mt_exemplar/F1LStay.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Stay,Right,Left,FALSE,FALSE,FF,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1LStay.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Stay,Right,Left,FALSE,FALSE,FF,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1LStay.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Switch,Right,Left,FALSE,TRUE,FT,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1LStay.mp4,Left,Right,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1LeftTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Left,Switch,Right,Left,FALSE,TRUE,FT,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,225,158,505,730,
../User/Stimuli/mt_exemplar/F1LStay.mp4,Right,Left,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1RightTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Switch,Left,Right,FALSE,TRUE,FT,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,769,158,505,730,
../User/Stimuli/mt_exemplar/F1LStay.mp4,Right,Left,../User/Stimuli/mt_exemplar/F1Now.jpg,../User/Stimuli/mt_exemplar/F1RightTarget.jpg,../User/Stimuli/mt_exemplar/F1Blocks.jpg,Left,Right,Switch,Left,Right,FALSE,TRUE,FT,F1,Yes,Main,,../User/Stimuli/mt_exemplar/Freeman_Background.png,769,158,505,730,
,,,,,,,,,,,,,,,,,,,,,,,